,beta,delta,val
353,0.91,0.954,38402.64774452186
354,0.91,0.956,47594.83296581785
355,0.91,0.958,58612.32937258474
356,0.91,0.96,70024.36752329081
357,0.92,0.92,1746997.26084775
358,0.92,0.922,1402253.4763430317
359,0.92,0.924,1086355.0125001837
360,0.92,0.926,805522.012494389
361,0.92,0.928,564281.2460368949
362,0.92,0.93,366527.011978893
363,0.92,0.932,221988.60684950888
364,0.92,0.934,123721.79618599954
365,0.92,0.936,64010.54327794637
366,0.92,0.9380000000000001,29055.8408703815
367,0.92,0.94,11358.130929033101
368,0.92,0.942,5096.051550328399
369,0.92,0.944,5691.033342714372
370,0.92,0.946,10282.601343573631
371,0.92,0.948,16730.50322561039
372,0.92,0.95,24303.82231950605
373,0.92,0.952,32512.51011191058
374,0.92,0.954,41453.99585067863
375,0.92,0.956,50915.93268970896
376,0.92,0.958,62233.093388073554
377,0.92,0.96,73834.86395755832
378,0.93,0.92,1670679.51243094
379,0.93,0.922,1331980.0019546547
380,0.93,0.924,1027609.0524951346
381,0.93,0.926,754494.7482425569
382,0.93,0.928,519417.35277805285
383,0.93,0.93,334032.4929760727
384,0.93,0.932,196416.77495702452
385,0.93,0.934,107748.23677790971
386,0.93,0.936,54363.97600121053
387,0.93,0.9380000000000001,23679.21293636079
388,0.93,0.94,9299.67522371007
389,0.93,0.942,5094.591011571146
390,0.93,0.944,6951.236139667051
391,0.93,0.946,12329.671840812502
392,0.93,0.948,18980.170287163586
393,0.93,0.95,26954.027812939246
394,0.93,0.952,35401.91349741891
395,0.93,0.954,44446.237090917566
396,0.93,0.956,54593.953735915464
397,0.93,0.958,66044.79452612821
398,0.93,0.96,78005.61275951509
399,0.9400000000000001,0.92,1599216.7267118494
400,0.9400000000000001,0.922,1264276.412337436
401,0.9400000000000001,0.924,970106.4932976663
402,0.9400000000000001,0.926,704390.6650998474
403,0.9400000000000001,0.928,478122.44315177086
404,0.9400000000000001,0.93,302281.54800788383
405,0.9400000000000001,0.932,174675.43369447874
406,0.9400000000000001,0.934,93223.2248500023
407,0.9400000000000001,0.936,45461.77635095988
408,0.9400000000000001,0.9380000000000001,19375.800977231025
409,0.9400000000000001,0.94,7883.145852424872
410,0.9400000000000001,0.942,5453.095324925652
411,0.9400000000000001,0.944,8476.793787737502
412,0.9400000000000001,0.946,14430.531832460212
413,0.9400000000000001,0.948,21629.09757571025
414,0.9400000000000001,0.95,29687.534893409596
415,0.9400000000000001,0.952,38219.295163766175
416,0.9400000000000001,0.954,47588.696277212555
417,0.9400000000000001,0.956,58169.13069561827
418,0.9400000000000001,0.958,69705.67902223626
419,0.9400000000000001,0.96,82504.46584971744
420,0.9500000000000001,0.92,1531066.8481302047
421,0.9500000000000001,0.922,1201205.2178796148
422,0.9500000000000001,0.924,912809.3981345146
423,0.9500000000000001,0.926,657782.3937233565
424,0.9500000000000001,0.928,442774.0072702544
425,0.9500000000000001,0.93,274001.13492451527
426,0.9500000000000001,0.932,156088.93375420538
427,0.9500000000000001,0.934,81839.9284630329
428,0.9500000000000001,0.936,38038.6785746302
429,0.9500000000000001,0.9380000000000001,16171.522846706952
430,0.9500000000000001,0.94,6981.396856584435
431,0.9500000000000001,0.942,6128.688022815186
432,0.9500000000000001,0.944,10237.094188231335
433,0.9500000000000001,0.946,16711.77041254977
434,0.9500000000000001,0.948,24290.450756427665
435,0.9500000000000001,0.95,32357.93586763551
436,0.9500000000000001,0.952,41185.75812805527
437,0.9500000000000001,0.954,51005.010829874576
438,0.9500000000000001,0.956,61973.576900012325
439,0.9500000000000001,0.958,73651.00297454504
440,0.9500000000000001,0.96,87076.74583284733
441,0.9600000000000001,0.92,1463435.2424274967
442,0.9600000000000001,0.922,1144309.3629562976
443,0.9600000000000001,0.924,865162.7933746603
444,0.9600000000000001,0.926,615123.8222383305
445,0.9600000000000001,0.928,405846.3654110546
446,0.9600000000000001,0.93,247045.25535924497
447,0.9600000000000001,0.932,136674.39895800597
448,0.9600000000000001,0.934,70280.17945413328
449,0.9600000000000001,0.936,32458.069323720654
450,0.9600000000000001,0.9380000000000001,13609.729253917852
451,0.9600000000000001,0.94,6635.5991242461
452,0.9600000000000001,0.942,7208.511663373742
453,0.9600000000000001,0.944,12162.068919722864
454,0.9600000000000001,0.946,19025.214547234802
455,0.9600000000000001,0.948,26883.231805705545
456,0.9600000000000001,0.95,35085.88040216893
457,0.9600000000000001,0.952,44169.522049628955
458,0.9600000000000001,0.954,54147.1076481931
459,0.9600000000000001,0.956,65758.54784595588
460,0.9600000000000001,0.958,77669.14456227157
461,0.9600000000000001,0.96,91781.46135997663
462,0.97,0.92,1394907.6640146095
463,0.97,0.922,1087467.786271431
464,0.97,0.924,813855.1877397201
465,0.97,0.926,571465.2027745747
466,0.97,0.928,374074.2766351695
467,0.97,0.93,221821.9969839023
468,0.97,0.932,122282.40125163467
469,0.97,0.934,60429.7706252965
470,0.97,0.936,27715.66285279369
471,0.97,0.9380000000000001,11696.048921399608
472,0.97,0.94,6610.330576080316
473,0.97,0.942,8515.520422202817
474,0.97,0.944,14200.093179091024
475,0.97,0.946,21366.873535282906
476,0.97,0.948,29463.82824848011
477,0.97,0.95,37814.37661024377
478,0.97,0.952,47444.84104141345
479,0.97,0.954,57650.538766596204
480,0.97,0.956,69223.2173048033
481,0.97,0.958,81955.16561592577
482,0.97,0.96,96298.91394599651
483,0.98,0.92,1332930.2000567717
484,0.98,0.922,1033236.7471256455
485,0.98,0.924,763217.8977772099
486,0.98,0.926,529451.0772358532
487,0.98,0.928,344915.3356751223
488,0.98,0.93,198592.63699771545
489,0.98,0.932,108984.16428513304
490,0.98,0.934,52884.70247836713
491,0.98,0.936,23521.74968588565
492,0.98,0.9380000000000001,10253.417168189173
493,0.98,0.94,7008.085083292114
494,0.98,0.942,10083.023480014077
495,0.98,0.944,16352.529933807566
496,0.98,0.946,24022.337888778486
497,0.98,0.948,31971.627731578294
498,0.98,0.95,40830.6561791862
499,0.98,0.952,50651.158978449086
500,0.98,0.954,61296.92599900816
501,0.98,0.956,72960.76892410236
502,0.98,0.958,86055.74914234805
503,0.98,0.96,100980.04689817026
504,0.99,0.92,1272844.5626333388
505,0.99,0.922,979567.5289794712
506,0.99,0.924,718450.0907768996
507,0.99,0.926,491658.6822420561
508,0.99,0.928,316525.69198316126
509,0.99,0.93,178951.98299231482
510,0.99,0.932,95780.20618158317
511,0.99,0.934,46352.55809137312
512,0.99,0.936,20138.095023659396
513,0.99,0.9380000000000001,9450.000292498635
514,0.99,0.94,7891.225025034351
515,0.99,0.942,11826.662492895268
516,0.99,0.944,18817.096360962816
517,0.99,0.946,26457.882380854706
518,0.99,0.948,34507.472501350596
519,0.99,0.95,43853.29182567206
520,0.99,0.952,53773.007079629795
521,0.99,0.954,64868.1140114601
522,0.99,0.956,76912.27024481332
523,0.99,0.958,90459.26111969851
524,0.99,0.96,105960.3501655228
525,1.0,0.92,1213463.9961962001
526,1.0,0.922,930709.3294033918
527,1.0,0.924,678636.8255966238
528,1.0,0.926,459287.2552372208
529,1.0,0.928,289761.3758456068
530,1.0,0.93,161306.28382728976
531,1.0,0.932,84107.28417625363
532,1.0,0.934,40469.97111733268
533,1.0,0.936,17173.503323888355
534,1.0,0.9380000000000001,8887.164154217986
535,1.0,0.94,8894.861697429737
536,1.0,0.942,13800.62046582986
537,1.0,0.944,21073.02714917258
538,1.0,0.946,28962.411320625564
539,1.0,0.948,37340.972753273265
540,1.0,0.95,46786.4561413388
541,1.0,0.952,57049.46710803656
542,1.0,0.954,68526.70671178352
543,1.0,0.956,80548.67955727532
544,1.0,0.958,94900.8748424606
545,1.0,0.96,111418.02288736819
546,1.01,0.92,1157553.1148075145
547,1.01,0.922,883954.7328872064
548,1.01,0.924,639728.1957082723
549,1.01,0.926,426443.55491171434
550,1.01,0.928,264950.5723344764
551,1.01,0.93,144988.26335023163
552,1.01,0.932,74587.55173456165
553,1.01,0.934,34739.76574932009
554,1.01,0.936,15010.642435279453
555,1.01,0.9380000000000001,8769.78041349225
556,1.01,0.94,10111.761231582968
557,1.01,0.942,15841.342109184938
558,1.01,0.944,23377.385404040986
559,1.01,0.946,31424.90051606742
560,1.01,0.948,40304.31817683419
561,1.01,0.95,49808.452630469306
562,1.01,0.952,60474.98019287316
563,1.01,0.954,72073.9406192734
564,1.01,0.956,84606.35327092741
565,1.01,0.958,99685.78664941451
566,1.01,0.96,116694.21027226164
567,1.02,0.92,1109437.3072775374
568,1.02,0.922,836114.7605351174
569,1.02,0.924,597718.610164786
570,1.02,0.926,397358.7416694133
571,1.02,0.928,242473.99563401856
572,1.02,0.93,129941.907867448
573,1.02,0.932,65480.858439251184
574,1.02,0.934,29829.314616630425
575,1.02,0.936,13701.240084931149
576,1.02,0.9380000000000001,9193.378740486876
577,1.02,0.94,11615.572783240626
578,1.02,0.942,17957.308463180223
579,1.02,0.944,25872.555775429446
580,1.02,0.946,33903.09215175115
581,1.02,0.948,43051.97152102155
582,1.02,0.95,53133.187235926525
583,1.02,0.952,63749.392723777935
584,1.02,0.954,75629.25923281364
585,1.02,0.956,89191.68960911402
586,1.02,0.958,104254.6634550548
587,1.02,0.96,122093.75312812772
588,1.03,0.92,1057217.7945146272
589,1.03,0.922,790486.6110125956
590,1.03,0.924,559260.2376680295
591,1.03,0.926,369285.3263670404
592,1.03,0.928,219384.50437236147
593,1.03,0.93,116453.14041303004
594,1.03,0.932,57131.645350532795
595,1.03,0.934,25969.445159720777
596,1.03,0.936,12612.490704977141
597,1.03,0.9380000000000001,9833.255602558573
598,1.03,0.94,13355.17146269267
599,1.03,0.942,20218.51288141773
600,1.03,0.944,28099.839052920866
601,1.03,0.946,36622.90414138614
602,1.03,0.948,45880.84365674901
603,1.03,0.95,56248.34480490256
604,1.03,0.952,67326.4643490152
605,1.03,0.954,79322.87799886304
606,1.03,0.956,93460.60346845775
607,1.03,0.958,109326.16564911345
608,1.03,0.96,127373.07120008225
609,1.04,0.92,1000862.5613031806
610,1.04,0.922,744175.6209393827
611,1.04,0.924,525503.8191538453
612,1.04,0.926,342336.8668352236
613,1.04,0.928,198448.40711910918
614,1.04,0.93,105336.39636100119
615,1.04,0.932,50235.991596312466
616,1.04,0.934,22775.35671938937
617,1.04,0.936,11983.837811756195
618,1.04,0.9380000000000001,10653.474603242006
619,1.04,0.94,15185.358526377195
620,1.04,0.942,22469.019730285596
621,1.04,0.944,30580.663373433457
622,1.04,0.946,39390.47398072366
623,1.04,0.948,48985.38400513082
624,1.04,0.95,59281.07263572153
625,1.04,0.952,70573.53435107059
626,1.04,0.954,83307.07264783638
627,1.04,0.956,98044.63496422552
628,1.04,0.958,113941.32703958
629,1.04,0.96,132998.12846007582
630,1.05,0.92,959741.8821571809
631,1.05,0.922,703064.2453047523
632,1.05,0.924,493561.37221629726
633,1.05,0.926,317844.8944383332
634,1.05,0.928,178895.73332393524
635,1.05,0.93,93374.68235189549
